"yvar","variable","importance"
"GSL.50","tmax_q99.t.minus.1",6254.71562932357
"EVImax","tmax_q99.t.minus.1",0.440476251542449
"EVImax","tmax_q99.t.minus.1",0.43706701272258
"EVImax","tmax_q99.t.minus.1",0.480212140969787
"EVImax","tmax_q99.t.minus.1",0.409567191060502
"EVImax","tmax_q99.t.minus.1",0.395998169117199
"EVImax","tmax_q99.t.minus.1",0.405787160096673
"EVImax","tmax_q99.t.minus.1",0.38192234788306
"EVImax","tmax_q99.t.minus.1",0.445130070674985
"EVImax","tmax_q99.t.minus.1",0.42275901638849
"EVImax","tmax_q99.t.minus.1",0.463302387227848
"OGI","tmax_q99.t.minus.0",18589.3122088349
"OGI","tmax_q99.t.minus.0",15359.2402927299
"OGI","tmax_q99.t.minus.0",15676.7126671353
"OGI","tmax_q99.t.minus.0",16682.6093764766
"OGI","tmax_q99.t.minus.0",14183.514821092
"OGI","tmax_q99.t.minus.0",16031.7637342919
"OGI","tmax_q99.t.minus.0",16449.1141355502
"OGI","tmax_q99.t.minus.0",15874.5965804137
"OGI","tmax_q99.t.minus.0",15854.5345633558
"OGI","tmax_q99.t.minus.0",17083.4160108141
"OGMn","tmax_q99.t.minus.0",13475.4480827855
"OGMn","tmax_q99.t.minus.0",12258.3217811877
"OGMn","tmax_q99.t.minus.0",11523.7549214651
"OGMn","tmax_q99.t.minus.0",12067.7916376783
"OGMn","tmax_q99.t.minus.0",13156.7881244138
"OGMn","tmax_q99.t.minus.0",14652.9274494434
"OGMn","tmax_q99.t.minus.0",12577.6423142429
"OGMn","tmax_q99.t.minus.0",13071.5686398287
"OGMn","tmax_q99.t.minus.0",12172.7291329681
"OGMn","tmax_q99.t.minus.0",12824.8105779871
"GSL.50","tmax_q99.t.minus.0",13587.4309480331
"GSL.50","tmax_q99.t.minus.0",13327.4637610725
"GSL.50","tmax_q99.t.minus.0",14858.2219615335
"GSL.50","tmax_q99.t.minus.0",14950.9854064192
"GSL.50","tmax_q99.t.minus.0",13642.6367954855
"GSL.50","tmax_q99.t.minus.0",14591.5023239323
"GSL.50","tmax_q99.t.minus.0",13619.6892604308
"GSL.50","tmax_q99.t.minus.0",14439.5494114047
"GSL.50","tmax_q99.t.minus.0",13263.9074776367
"GSL.50","tmax_q99.t.minus.0",14358.2815262557
"EVImax","tmax_q99.t.minus.0",0.409577793161677
"EVImax","tmax_q99.t.minus.0",0.396418504224185
"EVImax","tmax_q99.t.minus.0",0.42789579527724
"EVImax","tmax_q99.t.minus.0",0.51757002615216
"EVImax","tmax_q99.t.minus.0",0.499442217665903
"EVImax","tmax_q99.t.minus.0",0.428276901590851
"EVImax","tmax_q99.t.minus.0",0.443397021124627
"EVImax","tmax_q99.t.minus.0",0.450028939245929
"EVImax","tmax_q99.t.minus.0",0.490895887066983
"EVImax","tmax_q99.t.minus.0",0.458254039396358
"OGI","snowmelt.t.minus.3",12676.8111977715
"OGI","snowmelt.t.minus.3",11870.3098661595
"OGI","snowmelt.t.minus.3",11833.6639387235
"OGI","snowmelt.t.minus.3",11996.7621722121
"OGI","snowmelt.t.minus.3",13345.4614364246
"OGI","snowmelt.t.minus.3",11846.0480430211
"OGI","snowmelt.t.minus.3",13220.8860933319
"OGI","snowmelt.t.minus.3",12116.0623181754
"OGI","snowmelt.t.minus.3",13133.7663323582
"OGI","snowmelt.t.minus.3",12219.5448186503
"OGMn","snowmelt.t.minus.3",13452.8732600785
"OGMn","snowmelt.t.minus.3",10046.1533527423
"OGMn","snowmelt.t.minus.3",10559.8528789657
"OGMn","snowmelt.t.minus.3",12390.8955029486
"OGMn","snowmelt.t.minus.3",11472.8704159331
"OGMn","snowmelt.t.minus.3",12013.1478064202
"OGMn","snowmelt.t.minus.3",12679.970811732
"OGMn","snowmelt.t.minus.3",12698.9914707507
"OGMn","snowmelt.t.minus.3",11214.6471078754
"OGMn","snowmelt.t.minus.3",11791.3011746778
"GSL.50","snowmelt.t.minus.3",18240.6443483838
"GSL.50","snowmelt.t.minus.3",19390.0268607304
"GSL.50","snowmelt.t.minus.3",19828.6218394063
"GSL.50","snowmelt.t.minus.3",17102.0930528557
"GSL.50","snowmelt.t.minus.3",18816.5496049159
"GSL.50","snowmelt.t.minus.3",22929.4793527561
"GSL.50","snowmelt.t.minus.3",18058.1067334608
"GSL.50","snowmelt.t.minus.3",20370.5844064827
"GSL.50","snowmelt.t.minus.3",17547.4281103087
"GSL.50","snowmelt.t.minus.3",20609.4687925089
"EVImax","snowmelt.t.minus.3",0.216338185450078
"EVImax","snowmelt.t.minus.3",0.21218219624222
"EVImax","snowmelt.t.minus.3",0.209400953345261
"EVImax","snowmelt.t.minus.3",0.218721522419001
"EVImax","snowmelt.t.minus.3",0.203926889794169
"EVImax","snowmelt.t.minus.3",0.194924663084523
"EVImax","snowmelt.t.minus.3",0.203122109616477
"EVImax","snowmelt.t.minus.3",0.207851728956136
"EVImax","snowmelt.t.minus.3",0.211026674892036
"EVImax","snowmelt.t.minus.3",0.224682008446876
"OGI","snowmelt.t.minus.2",7563.74991640734
"OGI","snowmelt.t.minus.2",7201.44231994799
"OGI","snowmelt.t.minus.2",6400.66190289801
"OGI","snowmelt.t.minus.2",7198.5156677901
"OGI","snowmelt.t.minus.2",6651.3704231305
"OGI","snowmelt.t.minus.2",6904.89610669377
"OGI","snowmelt.t.minus.2",6814.60763795735
"OGI","snowmelt.t.minus.2",7026.00397740636
"OGI","snowmelt.t.minus.2",7390.35001991833
"OGI","snowmelt.t.minus.2",7452.71335204978
"OGMn","snowmelt.t.minus.2",18299.0580023243
"OGMn","snowmelt.t.minus.2",17380.8090661792
"OGMn","snowmelt.t.minus.2",18624.8724345219
"OGMn","snowmelt.t.minus.2",17115.0025700675
"OGMn","snowmelt.t.minus.2",19165.5187705548
"OGMn","snowmelt.t.minus.2",17936.062193883
"OGMn","snowmelt.t.minus.2",17948.2278578129
"OGMn","snowmelt.t.minus.2",18025.1266089439
"OGMn","snowmelt.t.minus.2",17922.0151146053
"OGMn","snowmelt.t.minus.2",20002.7561945187
"GSL.50","snowmelt.t.minus.2",36390.0716440415
"GSL.50","snowmelt.t.minus.2",32427.3175465133
"GSL.50","snowmelt.t.minus.2",32323.1407603439
"GSL.50","snowmelt.t.minus.2",31439.0931860688
"GSL.50","snowmelt.t.minus.2",34982.7791653452
"GSL.50","snowmelt.t.minus.2",31469.2549550142
