"x","year","yhat.q50","yhat.q05","yhat.q95","yvar","xvar"
243.333333333333,2017,138.504798941831,138.389509802936,138.559216875745,"OGI","sm_runs_med_dur.t.minus.0"
283.888888888889,2017,138.506847255792,138.398829531395,138.569619228867,"OGI","sm_runs_med_dur.t.minus.0"
324.444444444444,2017,138.521230355722,138.411088235957,138.592174722683,"OGI","sm_runs_med_dur.t.minus.0"
365,2017,138.523744530624,138.418210195809,138.588734296802,"OGI","sm_runs_med_dur.t.minus.0"
0,2018,137.664982447454,137.584928609783,137.766631642161,"OGI","sm_runs_med_dur.t.minus.0"
40.5555555555556,2018,137.642260893504,137.559422397101,137.735777853415,"OGI","sm_runs_med_dur.t.minus.0"
81.1111111111111,2018,137.621173049185,137.5468773615,137.722534856959,"OGI","sm_runs_med_dur.t.minus.0"
121.666666666667,2018,137.558939314718,137.517888885784,137.674495815472,"OGI","sm_runs_med_dur.t.minus.0"
162.222222222222,2018,137.335839250603,137.292897261621,137.46449683915,"OGI","sm_runs_med_dur.t.minus.0"
202.777777777778,2018,137.180806400461,137.106123622861,137.317791291001,"OGI","sm_runs_med_dur.t.minus.0"
243.333333333333,2018,137.166683849434,137.089122720285,137.300005623777,"OGI","sm_runs_med_dur.t.minus.0"
283.888888888889,2018,137.179009776753,137.098459822075,137.308444884817,"OGI","sm_runs_med_dur.t.minus.0"
324.444444444444,2018,137.206446196716,137.117444117308,137.327806588764,"OGI","sm_runs_med_dur.t.minus.0"
365,2018,137.209024541298,137.129680859482,137.332525466309,"OGI","sm_runs_med_dur.t.minus.0"
0,2019,144.384507952399,144.029448335666,144.699423329937,"OGI","sm_runs_med_dur.t.minus.0"
40.5555555555556,2019,144.322941708872,143.943215409544,144.616553102327,"OGI","sm_runs_med_dur.t.minus.0"
81.1111111111111,2019,144.345295177219,143.950370624362,144.618035921962,"OGI","sm_runs_med_dur.t.minus.0"
121.666666666667,2019,144.348274376829,143.944732152398,144.640903351282,"OGI","sm_runs_med_dur.t.minus.0"
162.222222222222,2019,144.266546379684,143.884555004414,144.568155504654,"OGI","sm_runs_med_dur.t.minus.0"
202.777777777778,2019,143.892691689919,143.433534665197,144.143623660324,"OGI","sm_runs_med_dur.t.minus.0"
243.333333333333,2019,143.881562849713,143.421517727394,144.133271239136,"OGI","sm_runs_med_dur.t.minus.0"
283.888888888889,2019,143.888340636905,143.428177901638,144.138953621271,"OGI","sm_runs_med_dur.t.minus.0"
324.444444444444,2019,143.905224847366,143.437158262845,144.160718140475,"OGI","sm_runs_med_dur.t.minus.0"
365,2019,143.908927370101,143.44617818028,144.160232665387,"OGI","sm_runs_med_dur.t.minus.0"
2714.07177734375,2016,283.015072042722,282.826172081034,283.125424064939,"OGMn","elevation"
2786.22026909722,2016,282.914971018067,282.718356440792,282.978451961699,"OGMn","elevation"
2858.36876085069,2016,283.117984991826,282.925984234502,283.175463082389,"OGMn","elevation"
2930.51725260417,2016,283.120781026349,282.981917708209,283.235361092712,"OGMn","elevation"
3002.66574435764,2016,283.192175555327,283.036544092503,283.262946694908,"OGMn","elevation"
3074.81423611111,2016,283.123720952001,282.989817281345,283.313049656944,"OGMn","elevation"
3146.96272786458,2016,282.625086101481,282.507272304392,282.836193318092,"OGMn","elevation"
3219.11121961806,2016,282.328183898568,282.197838584471,282.555177157744,"OGMn","elevation"
3291.25971137153,2016,282.169422450306,282.018096504849,282.350816328346,"OGMn","elevation"
